FID	ID	Area	Perimeter	Area_id	Area_type	Descrip	Date	Remark	Area_NEW	Update	Shape__Area	Shape__Length
1	1	12720.2	0	L01A0001	A52	????????	12082555	 	12720.23456		14283.56641	487.9096815
2	2	1483.1	0	L01A0002	A52	????????????????????	12082555	 	1483.125305		1665.408203	178.4809645
3	3	338.8	0	L01A0003	A52	?????????	12082555	 	338.8331909		380.4726563	93.13397803
4	4	25987	0	L01A0004	A42	???????????	12082555	 	25987.03235		29181.36914	1095.990422
5	5	2355.2	0	L01A0005	A42	???????????	12082555	 	2355.212708		2644.613281	290.6364209
6	6	356.9	0	L01A0006	A42	?????????????	12082555	 	356.9213257		400.7890625	92.08995356
7	7	1252	0	L01A0007	A2	???????????	12082555	 	1252.014038		1405.869141	215.0076723
8	8	1517.2	0	L01A0008	A2	?????????????????????????????????????	12082555	 	1517.218689		1703.660156	165.1038633
9	9	1517.2	0	L01A0009	A61	????????????????????	12082555	 	469.015686		526.6621094	128.6066478
10	10	811	0	L01A0010	A61	?????????????????????????	12082555	 	811.0283203		910.6933594	116.958169
11	11	900.7	0	L01A0011	A61	????????	12082555	 	900.6716919		1011.355469	129.8517771
12	12	128.3	0	L01A0012	A61	???????????????????????	12082555	 	128.3388062		144.109375	77.55414911
13	13	632.6	0	L01A0013	A61	???????????????????????	12082555	 	632.5592651		710.2910156	187.3662106
14	14	632.6	0	L01A0014	A61	???????????????????????	12082555	 	1712.758972		1923.220703	185.7097114
15	15	104.5	0	L01A0015	A61	???????????????????????	12082555	 	104.4555664		117.2929688	51.9229995
16	16	922.1	0	L01A0016	A61	????????????????????????????	12082555	 	922.1049805		1035.423828	170.6019429
17	17	347.6	0	L01A0017	A61	????????????????????????????	12082555	 	347.6288452		390.3515625	316.6709615
18	18	201.5	0	L01A0018	A61	???????????????????????????????????????	12082555	 	201.4742432		226.2363281	101.2130147
19	19	201.5	0	L01A0019	A61	????????????????????????????????	12082555	 	117.2531738		131.6621094	51.2749608
20	20	175.7	0	L01A0020	A61	????????????????????????????????	12082555	 	175.6798706		197.2714844	162.513802
21	21	860.9	0	L01A0021	A61	?????????????????????????????????	12082555	 	860.9346924		966.7460938	337.902004
22	22	726.2	0	L01A0022	A61	?????????????????????????????????	12082555	 	726.1782837		815.421875	187.5672057
23	23	876.8	0	L01A0023	A61	?????????????????????????????????	12082555	 	876.8133545		984.5839844	163.4860081
24	24	854.3	0	L01A0024	A61	????????????????????????????????	12082555	 	854.267334		959.2617188	269.6166609
25	25	810.9	0	L01A0025	A61	??????????????????????????????	12082555	 	810.9425659		910.59375	214.9968198
26	26	396.6	0	L01A0026	A61	???????????????????????????????????????	12082555	 	396.5760498		445.3085938	156.1837028
27	27	287.7	0	L01A0027	A61	??????????????????????????????????????	12082555	 	287.6865234		323.0429688	120.7040115
28	28	287.7	0	L01A0028	A61	????????????????????????????????????????????	12082555	 	604.3063965		678.5722656	104.5092885
29	29	133.4	0	L01A0029	A61	???????????????????????????	12082555	 	133.4481201		149.8476563	53.68429384
30	30	219.2	0	L01A0030	A61	?????????????????????????????	12082555	 	219.1955566		246.1328125	85.98844705
31	31	548.3	0	L01A0031	A61	???????????????????????????????????????	12082555	 	548.2624512		615.6425781	110.9212313
32	32	609.2	0	L01A0032	A61	??????????????????????????????????	12082555	 	625.4744263		702.3457031	152.6122502
33	33	589.6	0	L01A0033	A61	?????????????????????????????????????????	12082555	 	589.6416016		662.1113281	138.7017087
34	34	154.5	0	L01A0034	A61	???????????????????	12082555	 	154.4717407		173.453125	73.45011096
35	35	92.4	0	L01A0035	A61	?????????????????????????????	12082555	 	92.44390869		103.8027344	48.01831755
36	36	104.7	0	L01A0036	A63	???????????????	12082555	 	104.7498779		117.6269531	44.62251543
37	37	1316	0	L01A0037	A11	??????????????????????????	12082555	 	1315.966309		1477.681641	200.6771015
38	38	385.1	0	L01A0038	A11	??????????????????????????	12082555	 	385.0500488		432.3710938	110.1404788
39	39	696	0	L01A0039	A33	???????????????	12082555	 	695.9732056		781.4902344	111.8639974
40	40	59.8	0	L01A0040	A33	????????????? ??? ???.	12082555	 	59.79858398		67.1484375	33.89015677
41	41	5371.3	0	L01A0041	A1	???????????????????????	12082555	 	5371.257813		6031.441406	363.2524813
42	42	3876.8	0	L01A0042	A1	??????????????????????	12082555	 	3786.815796		4252.226563	340.8912494
43	43	4450.3	0	L01A0043	A1	??????????????????????	12082555	 	4450.328247		4997.236328	367.057596
44	44	3100.7	0	L01A0044	A1	?????????????????????????	12082555	 	3100.688904		3481.742188	238.4156825
45	45	4294	0	L01A0045	A1	???????????????????????	12082555	 	4924.018921		5529.193359	435.9979847
46	46	5061.3	0	L01A0046	A1	?????????????????????????????????	12082555	 	5061.320618		5683.433594	373.6731207
47	48	6702.4	0	L01A0047	A1	???????????????????????????????????????????????????????	12082555	 	6702.417847		7526.166016	550.4664913
48	49	6521.2	0	L01A0048	A1	??????????????????????????????????????????????	12082555	 	6521.18042		7322.582031	587.1194439
49	50	8120.2	0	L01A0049	A1	???????????????????????????????????	12082555	 	8120.23761		9118.158203	412.1770319
50	51	1020.5	0	L01A0050	A1	????????	12082555	 	1020.546143		1145.951172	136.0674108
51	52	598.1	0	L01A0051	A1	?????????? 3	12082555	 	598.0639648		671.5546875	103.6840205
52	53	4793.5	0	L01A0052	A1	???????????????????????????????	12082555	 	4793.475464		5382.501953	349.1689135
53	54	1560.8	0	L01A0053	A1	????????????????	12082555	 	1560.800903		1752.609375	263.6518888
54	55	257.7	0	L01A0054	A1	?????????????	12082555	 	257.7315674		289.4003906	68.61275391
55	56	576.8	0	L01A0055	A1	???????????	12082555	 	576.8374023		647.71875	109.9631395
56	57	1266.9	0	L01A0056	A1	????????????????	12082555	 	1266.935852		1422.652344	183.6290097
57	58	275	0	L01A0057	A1	????????????	12082555	 	274.9767456		308.7617188	78.040172
